"LOA DATE",PRODUCT,MODEL,"PRIMARY VIOLATION",CITATION,"ACTION REQUESTED",FIRM,"ADDRESS 1","ADDRESS 2","FOREIGN MFG","LOT SIZE",COUNTRY
"August 2017","BIC LIGHTER",J25,"Lighter Reporting","16 CFR 1210.17(b)","Stop Sale and Correct Future Production","PACRIM CONNECTION INC","128 HEYWARD STREET","BROOKLYN, NY 11206","DROUICHE BUSINESS ENTERPRISE",114000,NETHERLANDS
"August 2017","BIC LIGHTER",J26,"Lighter Reporting","16 CFR 1210.17(b)","Stop Sale and Correct Future Production","PACRIM CONNECTION INC","128 HEYWARD STREET","BROOKLYN, NY 11206","DROUICHE BUSINESS ENTERPRISE",339000,NETHERLANDS
"August 2017","METAL SHERIFF BADGES","SW-067282, SW-0","Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","SWIBCO, INC.","4810 VENTURE STREET","LISLE, IL 60532-3597","CHARMING GIFTS MANUFACTURING COMPANY LIMITED",26650,CHINA
"August 2017","BUNCH OF FUN WATER BALLOONS",,"Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","PATEL, MANISH","8901 N WASHINGTON ST, APT E","NILES, IL 607141701","YIWU HAOWAY HANDICRAFTS",3000,CHINA
"August 2017","BICYCLE HELMET",WT-053,"Bicycle Helmet Labeling","16 CFR 1203.6 and .34","Correct Future Production","YLLUCK INC","1230 SANTA ANITA AVE # G, SOUT","SOUTH EL MONTE, CALIFORNIA 917","SHENZHEN BAO ENLILU TECHNOLOGY CO LTD",277,CHINA
"August 2017","GUN SET IN BLISTER CARD",TY21480,"ASTM Toy Standard Violation","15 U.S.C. § 2058(a)","Stop Sale and Correct Future Production","JIDE TRADING, INC.","6021 BANDINI BLVD","LOS ANGELES, CA 90040","NINGBO BOSOM IMP. & EXP. CO., LTD",4800,CHINA
"August 2017","GUN SET IN BLISTER CARD",TY21489,"ASTM Toy Standard Violation","15 U.S.C. § 2058(a)","Stop Sale and Correct Future Production","JIDE TRADING, INC.","6021 BANDINI BLVD","LOS ANGELES, CA 90040","NINGBO BOSOM IMP. & EXP. CO., LTD",4800,CHINA
"August 2017","RONSON TECH TORCH UTILITY LIGH","RONSON TECH TOR","MP Lighter Labeling","16 CFR 1212.12 c","Correct Future Production","ZIPPO MANUFACTURING CO.","33 BARBOUR STREET","BRADFORD, PA 16701",,,CHINA
"August 2017","BELL ZEPHYR BICYCLE HELMET","ZEPHYR MIPS","Bicycle Helmet Structural Failure","16 CFR 1203.17","Correct Future Production","BELL SPORTS, INC.","5550 SCOTTS VALLEY DR","SCOTTS VALLEY, CALIFORNIA 9506",,,CHINA
"August 2017","INFANT SHIRTS","VARIOUS, SEE RE","Tracking Label Violation","15 U.S.C. § 2063(a)(5)","Stop Sale and Correct Future Production","BAMBI - PUERTO RICO","AVE. RAFAEL CORDERO PLAZA CENT","CAGUAS, PR 00725","DISEÃ‘OS EXCLUSIVOS PARA NIÃ‘OS Y NIÃ‘AS CALIDAD DE EXPORTACION",8855,COLOMBIA
"August 2017","BOY PANTS",9001,"Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","BAMBI - PUERTO RICO","AVE. RAFAEL CORDERO PLAZA CENT","CAGUAS, PR 00725","DISEÃ‘OS EXCLUSIVOS PARA NIÃ‘OS Y NIÃ‘AS CALIDAD DE EXPORTACION",1465,COLOMBIA
"August 2017","FAIRY TALE TENT",4664,"Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","ETNA WORLDWIDE CORP.","99 MADISON AVE FL 11","NEW YORK, NY 100167419","KUAN SHENG TRADING CO., LTD",3000,CHINA
"August 2017","ROCKET TENT",4663,"Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","ETNA WORLDWIDE CORP.","99 MADISON AVE FL 11","NEW YORK, NY 100167419","KUAN SHENG TRADING CO., LTD",1500,CHINA
"August 2017","STUFFED ANIMAL BACKPACK: MONKE",2065,"Third Party Certificate Violation","15 U.S.C. § 2063(a)(2)","Stop Sale and Correct Future Production","GRACE MERCHANDISE","1705 E. 20TH ST","LOS ANGELES, CA 90058","NANJING CHARMING CORP LTD",176,CHINA
"August 2017","STUFFED ANIMAL BACKPACK: BROWN",2038,"Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","GRACE MERCHANDISE","1705 E. 20TH ST","LOS ANGELES, CA 90058","NANJING CHARMING CORP LTD",2200,CHINA
